id,section,section_name,title,graph,status,census_rank
1,I,P0 foundations,"General relation-law algebra, not only ad hoc optimizer predicates",C,partial,2
2,I,P0 foundations,Relations between relations,C,partial,2
3,I,P0 foundations,Galois-connection / abstraction-refinement machinery,C,partial,
4,I,P0 foundations,General monotone fixpoint engine,C,partial,4
5,I,P0 foundations,Refinement as a first-class transformation law,C,partial,6
6,I,P0 foundations,Exact semantic correspondence across incarnations,C,partial,
7,I,P0 foundations,Complete observation algebra,C,partial,1
8,I,P0 foundations,Complete demand algebra,C,partial,1
9,I,P0 foundations,Change / derivative algebra,C,partial,5
10,I,P0 foundations,Proof object economy,C,partial,
11,II,"Partial evaluation, staging and Futamura",Interpreter specialization as a general compiler mechanism,D,law,8
12,II,"Partial evaluation, staging and Futamura",Second Futamura projection for compiler generation,D,law,
13,II,"Partial evaluation, staging and Futamura",Third Futamura projection / compiler-generator capability,D,law,
14,II,"Partial evaluation, staging and Futamura",Binding-time analysis as graph facts,D,law,
15,II,"Partial evaluation, staging and Futamura",Multi-stage residualization,D,law,
16,II,"Partial evaluation, staging and Futamura",Cross-stage persistence with exact provenance,D,law,
17,II,"Partial evaluation, staging and Futamura",Staged interpreter collapse,D,law,
18,II,"Partial evaluation, staging and Futamura",Runtime specialization without permanent JIT architecture,D,law,
19,II,"Partial evaluation, staging and Futamura",Self-specializing compiler components,D,law,
20,II,"Partial evaluation, staging and Futamura",Stage-polymorphic standard relations,D,law,
21,III,"Equality saturation, term rewriting and theorem-guided search",Sparse equivalence classes attached to semantic ids,C,protocol,
22,III,"Equality saturation, term rewriting and theorem-guided search",Conditional rewrite laws,C,protocol,
23,III,"Equality saturation, term rewriting and theorem-guided search",Typed/lawset-aware equality saturation,C,protocol,
24,III,"Equality saturation, term rewriting and theorem-guided search",Demand-directed saturation,C,protocol,
25,III,"Equality saturation, term rewriting and theorem-guided search",Cost-aware saturation scheduling,C,protocol,7
26,III,"Equality saturation, term rewriting and theorem-guided search",Persistent equivalence knowledge across builds,C,protocol,
